"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-location","img-wrp href","he-lazy-image src","he-lazy-image src 2","list-view-header"
"https://www.hepsiemlak.com/izmir-konak-kilic-reis-kiralik/daire/130125-62","17","12.000","15-04-2024","Kiralık Daire","1 +
                        1","55 m²","25
                      Yaşında","Yüksek Giriş","Konak,","https://www.hepsiemlak.com/emlak-ofisi/grup-gayrimenkul-130125","https://www.hepsiemlak.com/img/loadings/noImage55-55.png","",""
"https://www.hepsiemlak.com/izmir-konak-akin-simav-kiralik/daire/130125-91","35","16.000","09-04-2024","Kiralık Daire","3 +
                        1","150 m²","35
                      Yaşında","3. Kat","Konak,","https://www.hepsiemlak.com/emlak-ofisi/grup-gayrimenkul-130125","https://www.hepsiemlak.com/img/loadings/noImage55-55.png","",""
"https://www.hepsiemlak.com/izmir-buca-adatepe-kiralik/daire/138098-14","5","200","13-04-2024","Kiralık Daire","2 +
                        1","55 m²","2
                      Yaşında","Ara Kat","Buca,","https://www.hepsiemlak.com/emlak-ofisi/elegance-butik-otel-138098","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/8/9/0/8/3/1/3ed64bd6-5642-46f0-96af-75a4d69fbf2c.jpg","",""
"https://www.hepsiemlak.com/izmir-buca-yaylacik-kiralik/daire/138098-16","7","200","13-04-2024","Kiralık Daire","2 +
                        1","60 m²","2
                      Yaşında","3. Kat","Buca,","https://www.hepsiemlak.com/emlak-ofisi/elegance-butik-otel-138098","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/7/0/1/3/5/9/0/4/c60aef95-b072-476e-b106-e7559697d550.jpg","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/8/9/0/8/3/1/3ed64bd6-5642-46f0-96af-75a4d69fbf2c.jpg",""
"https://www.hepsiemlak.com/izmir-karsiyaka-bahcelievler-kiralik/daire/99733-310","25","18.000","15-04-2024","Kiralık Daire","3 +
                        1","160 m²","27
                      Yaşında","3. Kat","Karşıyaka, Bahçelievler Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/5/4/1/4/2/7/3/1707487064-225102-37241452.jpeg","","Karşıyaka Kiralık 2 Balkonlu Naldöken Metro Sadece 3 Dakika! Doğal Gaz Yok"
"https://www.hepsiemlak.com/izmir-konak-kultur-kiralik/daire/99733-349","38","45.000","15-04-2024","Kiralık Daire","3 +
                        1","135 m²","35
                      Yaşında","3. Kat","Konak, Kültür Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/8/7/2/8/3/2/4/1710884337-361495-42382784.jpeg","","Alsancak Gül Sokak Mustafa Bey’de Kiralık 3+1 Daire"
"https://www.hepsiemlak.com/izmir-bornova-kazimdirik-kiralik/daire/125039-332","23","35.000","15-04-2024","Kiralık Daire","1 +
                        1","67 m²","2
                      Yaşında","4. Kat","Bornova, Kazımdirik Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/1/3/7/3/2/2/4/1708434968392-42237315.jpg","","Folkart İncity' De 1+1  Eşyalı  Kiralık Daire Aıdat Elektrik Su İnternet Fıyata Dahil"
"https://www.hepsiemlak.com/izmir-gaziemir-yesil-kiralik/daire/94107-1368","33","25.000","15-04-2024","Kiralık Daire","3 +
                        1","140 m²","25
                      Yaşında","2. Kat","Gaziemir, Yeşil Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/5/7/5/7/4/2/4/48eee441-a54c-4677-b973-6d21983afc69.jpg","","Özevim Emlaktan Siteiçi Eşyalı Kiralık 3+1 Daire"
"https://www.hepsiemlak.com/izmir-gaziemir-atifbey-kiralik/daire/94107-932","22","22.000","15-04-2024","Kiralık Daire","3 +
                        1","170 m²","15
                      Yaşında","3. Kat","Gaziemir, Atıfbey Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/7/1/7/9/1/7/3/5997c3f7-a9a7-44b7-a8ac-fe0cd4bd7f92.jpg","","Atıfbey Mahallesi Arakat Kombili Geniş  Kiralık 3+1 Daire"
"https://www.hepsiemlak.com/izmir-gaziemir-dokuz-eylul-kiralik/daire/94107-1363","11","15.000","15-04-2024","Kiralık Daire","3 +
                        1","170 m²","10
                      Yaşında","2. Kat","Gaziemir, Dokuz Eylül Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/2/7/1/4/4/2/4/48e3b194-676a-4140-a4f8-5deb18285d36.jpg","","Gaziemir İzbana Yürüme Mesafesinde Arakat Kiralık 3+1 Daire"
