"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","he-lazy-image src","img-wrp href","he-lazy-image src 2"
"https://www.hepsiemlak.com/izmir-foca-mustafa-kemal-ataturk-kiralik/daire/0-40401787","28","35.000","17-03-2024","Kiralık Daire","1 +
                        1","50 m²","2
                      Yaşında","En Üst Kat","Yenifoça’da Sahibinden Sezonluk (4 Aylık) Kiralık 1+1 Yeni Daire","Foça, Mustafa Kemal Atatürk Mahallesi","","",""
"https://www.hepsiemlak.com/izmir-menderes-orta-kiralik/villa/0-39119134","29","250.000","30-03-2024","Kiralık Villa","3 +
                        1","130 m²","31
                      Yaşında","","Özdere Eşyalı Sezonluk Kiralık Müstakil Villa","Menderes, Orta Mahallesi","","",""
"https://www.hepsiemlak.com/izmir-konak-etiler-kiralik/mustakil-ev/0-38366173","21","18.000","02-03-2024","Kiralık Müstakil Ev","2 +
                        1","110 m²","31
                      Yaşında","","Sahibinden Daire Fiyatına Kiralık  Müstakil Ev , House For Rent","Konak, Etiler Mahallesi","","",""
"https://www.hepsiemlak.com/izmir-balcova-cetin-emec-kiralik/daire/0-36696230","26","24.750","24-01-2024","Kiralık Daire","3 +
                        1","145 m²","15
                      Yaşında","7. Kat","Sahibinden Olimpiyat Köyü'nde Manzaralı 3+1 C  Tip Kiralık Daire (eşyasız)","Balçova, Çetin Emeç Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/3/2/6/9/6/6/3/1700232417-625719-36696230.jpeg","",""
"https://www.hepsiemlak.com/izmir-urla-m-fevzi-cakmak-kiralik/daire/125876-2021","17","12.000","09-04-2024","Kiralık Daire","Stüdyo","50 m²","2
                      Yaşında","Teras Katı","Urla Kalabak Mah Denize Yakın 1+0 Teraslı","Urla, M. Fevzi Çakmak Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/1/0/7/7/4/2/4/1712643401-443831-42477018.jpeg","https://www.hepsiemlak.com/emlak-ofisi/kw-alesta-viya-orsa-4-125876","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/6/7/8/5/2/1/0342d86e-fbb2-43c5-93c2-fa0deaffdebc.jpg"
"https://www.hepsiemlak.com/izmir-buca-buca-koop-kiralik/daire/119895-2211","23","15.950","13-03-2024","Kiralık Daire","1 +
                        1","60 m²","1
                      Yaşında","5. Kat","Asem Loft'ta 1+1,Full Eşyalı, Şık Daire","Buca, Buca Koop. Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/1/0/9/8/0/2/4/35efccf1-f40f-4ff8-932d-227af12a04fb.jpeg","https://www.hepsiemlak.com/emlak-ofisi/kw-alesta-viya-orsa-3-119895","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/5/9/8/9/1/1/96681a8d-acf4-4d1c-b71b-06316dd8f3d1.jpg"
"https://www.hepsiemlak.com/izmir-cesme-alacati-kiralik/villa/116587-561","18","650.000","21-03-2024","Kiralık Villa","3 +
                        1","150 m²","5
                      Yaşında","","Alaçatı Merkezi Lakosyanda 3+1 Yıllık Kiralık Havuzlu Villa","Çeşme, Alaçatı Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/0/7/8/8/3/2/4/3272cf22-a8d5-43bc-b5ff-557279696498.jpeg","https://www.hepsiemlak.com/emlak-ofisi/royal-alacati-gayrimenkul-116587","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/7/8/5/6/1/1/0cbe1dd0-adbb-4e21-b872-8dba9ff1c5f2.jpg"
"https://www.hepsiemlak.com/izmir-buca-inkilap-kiralik/daire/21865-5041","10","20.000","29-02-2024","Kiralık Daire","3 +
                        1","130 m²","30
                      Yaşında","4. Kat","Aktifler'den Şirinyer'de Eşyalı Kiralık Konut 3+1 İzban'a Yakın","Buca, İnkılap Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/7/5/4/8/4/1/4/eb00385e-0a84-427b-b914-1bf2274aeaf5.jpg","",""
"https://www.hepsiemlak.com/izmir-buca-kurucesme-kiralik/daire/142478-44","10","12.500","26-03-2024","Kiralık Daire","1 +
                        1","50 m²","5
                      Yaşında","Bahçe Katı","Arsal'dan Full Eşyalı Bahçeli Doğalgazlı 1+1 Daire","Buca, Kuruçeşme Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/8/6/7/1/4/2/4/9da8daad-9746-4176-a85e-e7161ff69789.jpeg","https://www.hepsiemlak.com/emlak-ofisi/arsal-insaat-gayrimenkul-142478","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/8/7/4/2/4/1/095c5f4d-d51b-4fdd-afd9-1523c4b457db.jpg"
"https://www.hepsiemlak.com/izmir-foca-ataturk-kiralik/yazlik/6067-63","22","25.000","20-01-2024","Kiralık Yazlık","2 +
                        1","85 m²","23
                      Yaşında","Villa Katı","Simge Emlak'tan Devamlı Eşyalı Kiralık Dublekss","Foça, Atatürk Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/5/7/9/8/7/8/3/1651598571971-38789756.jpg","",""
