"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","list-view-header","list-view-location","celly 4","he-lazy-image src","img-wrp href","he-lazy-image src 2"
"https://www.hepsiemlak.com/izmir-menderes-orta-kiralik/villa/0-37405974","20","32.000","15-04-2024","Kiralık Villa","3 +
                        1","300 m²","7
                      Yaşında","Doktordan Villa, Gümüldür Özdere Orta Mah. Büyük Bahçeli Deniz Ve Orman Manzaralı Triplex","Menderes, Orta Mahallesi","","","",""
"https://www.hepsiemlak.com/izmir-foca-maresal-fevzi-cakmak-kiralik/mustakil-ev/0-36925113","15","125.000","03-04-2024","Kiralık Müstakil Ev","4 +
                        1","220 m²","7
                      Yaşında","Gerenköy Havuzlu Müstakil Ev","Foça, Mareşal Fevzi Çakmak Mahallesi","","","",""
"https://www.hepsiemlak.com/izmir-buca-yaylacik-kiralik/daire/42054-938","16","10.000","27-02-2024","Kiralık Daire","1 +
                        1","60 m²","8
                      Yaşında","Kiralık Daire Buca Yaylacık Mah. Doğalgazlı 1+1 2. Kat","Buca, Yaylacık Mahallesi","2. Kat","","",""
"https://www.hepsiemlak.com/izmir-menderes-kemalpasa-kiralik/daire/101303-330","16","20.000","13-03-2024","Kiralık Daire","3 +
                        1","180 m²","3
                      Yaşında","Menderes Kemalpaşa Mah Kiralık Daire Reb Gayrimenkul","Menderes, Kemalpaşa Mahallesi","3. Kat","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/6/6/9/7/9/1/4/8af9e1b2-582c-4435-9785-19c5e70c50f9.jpeg","https://www.hepsiemlak.com/emlak-ofisi/reb-gayrimenkul-yatirim-danismanligi-101303","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/3/0/3/1/0/1/a6ff9985-bc5a-49e9-9d23-0dcff5b753c3.jpg"
"https://www.hepsiemlak.com/izmir-menemen-esatpasa-kiralik/daire/129850-609","34","27.000","06-02-2024","Kiralık Daire","3 +
                        1","350 m²","5
                      Yaşında","Menemen Esatpaşa Mah. Kiralık Lüks Daire","Menemen, Esatpaşa Mahallesi","1. Kat","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/2/9/1/6/1/2/4/e773fe60-cc67-428c-994e-ca8c0d19fedc.jpeg","https://www.hepsiemlak.com/emlak-ofisi/coldwell-banker-360-commercial-129850","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/0/5/8/9/2/1/1beab388-2636-4c93-9de2-727342532c63.jpg"
"https://www.hepsiemlak.com/izmir-konak-piri-reis-kiralik/daire/9764-8008","22","15.000","01-04-2024","Kiralık Daire","2 +
                        1","130 m²","38
                      Yaşında","İlhan Dan Bahçelievler Uğur Mumcu Parkı Karşısında Dekorlu Bahçe Katı Kiralık Daire","Konak, Piri Reis Mahallesi","Bahçe Katı","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/6/8/8/5/9/1/4/b31715bf-13c9-4ea7-9413-537d5045b829.jpg","https://www.hepsiemlak.com/emlak-ofisi/ilhan-emlak-9764","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/4/6/7/9/0/0/633853af-7688-4cf3-93f5-f98557e6e1e8.jpg"
"https://www.hepsiemlak.com/izmir-buca-efeler-kiralik/daire/130324-541","21","13.000","09-04-2024","Kiralık Daire","2 +
                        1","100 m²","31
                      Yaşında","Şirinyer Avnilimboz Cami Yan Aygıda Sokağında 2+1 Kiralık Daire","Buca, Efeler Mahallesi","2. Kat","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/6/5/3/3/2/2/4/e3efe51e-c9cf-4341-b3a6-6848c3175835.jpeg","",""
"https://www.hepsiemlak.com/izmir-cesme-reisdere-kiralik/villa/74495-4403","27","400.000","25-02-2024","Kiralık Villa","3 +
                        1","150 m²","11
                      Yaşında","Kalyon'dan Kiralık Mustakil Havuzlu 3+1 Villa","Çeşme, Reisdere Mahallesi","Bahçe Katı","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/9/3/1/6/2/2/4/feb0ac2a-3ac6-4e51-b55a-64333afbb88a.jpeg","https://www.hepsiemlak.com/emlak-ofisi/kalyon-emlak-alacati-74495","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/5/9/4/4/7/0/c8e381f4-5b01-4e18-8501-5ada8087cb14.jpg"
"https://www.hepsiemlak.com/izmir-cesme-alacati-kiralik/villa/36744-4672","30","550.000","20-03-2024","Kiralık Villa","3 +
                        1","130 m²","8
                      Yaşında","Alaçatı Göbene Sezonluk Kiralık Havuzlu Site 3+1 Müstakil Villa","Çeşme, Alaçatı Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/2/4/4/4/2/2/3/3/019aa645-da88-455b-974a-358a770ee12d.jpg","https://www.hepsiemlak.com/emlak-ofisi/arda-gayrimenkul-yatirim-danismanligi-36744","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/4/4/7/6/3/0/877a05ac-81bf-4041-917d-b7308f59f87f.jpg"
"https://www.hepsiemlak.com/izmir-cesme-sifne-kiralik/yazlik/65747-1494","35","400.000","23-03-2024","Kiralık Yazlık","3 +
                        1","120 m²","2
                      Yaşında","(s1494) Havuzlu Site, Denize Yakın, Otoparklı, Cumbalı Taş Villa","Çeşme, Şifne Mahallesi","Villa Katı","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/2/3/1/0/8/6/3/db3f1efd-fe52-4607-9ca7-7bc18ba091a2.jpg","https://www.hepsiemlak.com/emlak-ofisi/ozkanlar-gayrimenkul-danismanligi-65747","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/7/4/7/5/6/0/6a006b73-dc2c-4c57-bbfe-3336c57ec463.jpg"
