"img-link href","photo-count","list-view-price","list-view-date","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","he-lazy-image src"
"https://www.hepsiemlak.com/usak-banaz-cumhuriyet-kiralik/daire/100467-448","10","7.000","15-04-2024","3 +
                        1","150 m²","20
                      Yaşında","Kot 2","Banazda Şehir Merkezinde Heryere Ulaşimi Çok Yakın Kikalık 3+1 Dogalgazlı Daire","Banaz, Cumhuriyet Mahallesi",""
"https://www.hepsiemlak.com/usak-merkez-kemaloz-kiralik/daire/142869-38","17","8.500","07-04-2024","2 +
                        1","110 m²","8
                      Yaşında","1. Kat","Kemalöz Semt Pazarı Yanı Kiralık 2+1 Daire","Merkez, Kemalöz Mahallesi",""
"https://www.hepsiemlak.com/usak-merkez-kemaloz-kiralik/daire/130986-140","11","7.000","29-03-2024","1 +
                        1","60 m²","Sıfır Bina","4. Kat","Bakır Gayrimenkul Den Kiralık Atapark Yakını Karakıran Cami Yakını  2+0=60m2 Eşyasız Apart","Merkez, Kemalöz Mahallesi",""
"https://www.hepsiemlak.com/usak-merkez-durak-kiralik/daire/142869-42","13","7.000","30-03-2024","1 +
                        1","50 m²","10
                      Yaşında","5. Kat","Fatih Caddesi Üzerinde Lüks Kiralık 1+1 Apart","Merkez, Durak Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/3/7/2/8/3/2/4/1710882639-754583-42382732.jpeg"
"https://www.hepsiemlak.com/usak-merkez-cumhuriyet-kiralik/daire/99661-772","50","16.500","30-03-2024","4 +
                        1","300 m²","11
                      Yaşında","7. Kat","Uşak,Merkez,Cumhuriyet Mah.Kiralık 4+1 Dubleks Daire 300m2","Merkez, Cumhuriyet Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/9/3/7/7/3/2/4/c88bf0e0-f4cb-4a7b-ba05-ba084c5009cd.jpeg"
"https://www.hepsiemlak.com/usak-merkez-cumhuriyet-kiralik/daire/99661-771","35","20.000","30-03-2024","3 +
                        1","117 m²","Sıfır Bina","3. Kat","Uşak,Merkez,Atapark,Ertuğrul Park'ta Öncephe Kiralık 3+1 117 M2","Merkez, Cumhuriyet Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/9/3/7/7/3/2/4/b0688fe5-9194-4cb3-91a7-e67ec85cd72a.jpeg"
"https://www.hepsiemlak.com/usak-merkez-durak-kiralik/daire/0-42296371","23","22.000","03-03-2024","3 +
                        1","150 m²","5
                      Yaşında","5. Kat","Kiralık Daire Asansörlü Merkezi Sistem Isıtma 5.Kat","Merkez, Durak Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/7/3/6/9/2/2/4/1709402583504-42296371.jpg"
"https://www.hepsiemlak.com/usak-merkez-unalan-kiralik/daire/141477-30","10","7.000","03-04-2024","2 +
                        0","70 m²","4
                      Yaşında","2. Kat","Gökçay Dan Kiralık Uşak Merkez 2+0 Eşyalı Balkonlu Arakat Apart","Merkez, Ünalan Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/5/7/9/4/4/2/4/bf09230a-185d-4823-b28b-1be3786a4022.jpeg"
"https://www.hepsiemlak.com/usak-merkez-kemaloz-kiralik/daire/142869-33","13","7.250","14-04-2024","2 +
                        1","110 m²","3
                      Yaşında","1. Kat","Kemalöz Mahallesinde 2+1 Kiralık Daire","Merkez, Kemalöz Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/9/7/5/1/3/2/4/79889c65-a36a-4d96-a473-9351151f9eab.jpg"
"https://www.hepsiemlak.com/usak-merkez-cumhuriyet-kiralik/daire/108760-307","30","15.000","02-04-2024","3 +
                        1","140 m²","15
                      Yaşında","5. Kat","Uşak Merkez Cumhuriyet Mh.De Kiralık 3+1 Daire","Merkez, Cumhuriyet Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/7/1/8/4/4/2/4/d681d211-5ff4-4f89-8827-53fba9391adc.jpg"
"https://www.hepsiemlak.com/usak-merkez-fatih-kiralik/daire/142869-35","11","10.000","12-03-2024","3 +
                        1","130 m²","Sıfır Bina","2. Kat","Fatih Mahallesi Borsa İstanbul Ortaokulu Yakını","Merkez, Fatih Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/5/4/0/4/3/2/4/1710187457-9219332-42340451.jpeg"
"https://www.hepsiemlak.com/usak-merkez-unalan-kiralik/daire/142869-22","11","7.500","07-03-2024","2 +
                        1","75 m²","4
                      Yaşında","3. Kat","Ünalan Mahallesi Küçük Çarşıda Eşyalı 2+1  Kiralık Apart","Merkez, Ünalan Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/2/5/2/9/2/2/4/faea9c1d-7f07-48b7-9d0e-70c0ad60f078.jpg"
"https://www.hepsiemlak.com/usak-merkez-kemaloz-kiralik/daire/108760-113","30","15.000","27-01-2024","4 +
                        1","140 m²","10
                      Yaşında","Kot 1","Uşak Merkez Kemalöz'de Kiralık 4+1 Daire","Merkez, Kemalöz Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/7/0/6/5/9/1/5/3/46d592d1-bc97-4303-9a4d-c82eccb7ca56.jpg"
"https://www.hepsiemlak.com/usak-merkez-cumhuriyet-kiralik/daire/0-42201836","19","6.750","05-04-2024","3 +
                        1","160 m²","20
                      Yaşında","3. Kat","Uşak Merkez’de 3+1 Kiralık Daire","Merkez, Cumhuriyet Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/3/8/1/0/2/2/4/1707864686-7577271-42201836.jpeg"
