"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","he-lazy-image src"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-hasan-karaagac-kiralik/daire/129005-118","43","7.500","16-04-2024","Kiralık Daire","2 +
                        0","60 m²","5
                      Yaşında","Ara Kat","Selam Emlak Ofisinden 2+0 Harika Konumda Yeni Yapı Kiralık Mükemmel Daire","Merkez, Hasan Karaağaç Mahallesi",""
"https://www.hepsiemlak.com/afyonkarahisar-merkez-hasan-karaagac-kiralik/daire/129005-110","28","8.500","16-04-2024","Kiralık Daire","1 +
                        1","48 m²","2
                      Yaşında","Kot 1","Selam Emlak Ofisinden 1+1 Ful Eşyalı Tıp Fakültesi İstikametinde ( Mavi Hastane ) Kiralık Daire","Merkez, Hasan Karaağaç Mahallesi",""
"https://www.hepsiemlak.com/afyonkarahisar-merkez-yenice-kiralik/daire/0-42491291","48","15.000","15-04-2024","Kiralık Daire","3 +
                        1","130 m²","10
                      Yaşında","En Üst Kat","Sahibinden Yenice De Kiralık 3+1 Daire","Merkez, Yenice Mahallesi",""
"https://www.hepsiemlak.com/afyonkarahisar-merkez-erenler-kiralik/daire/26985-2723","35","5.000","15-04-2024","Kiralık Daire","1 +
                        1","70 m²","5
                      Yaşında","3. Kat","Safran Dan Afyon Erenler   Kocatepe Üniversitesi Yakını Orta Kat  Ferah Asansörlü","Merkez, Erenler Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/6/1/4/6/3/9/3/1661501100754-39364164.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-ali-ihsan-pasa-kiralik/daire/109660-2646","28","7.000","15-04-2024","Kiralık Daire","2 +
                        1","120 m²","20
                      Yaşında","En Üst Kat","Ali İhsan Paşa Mah. Kiralık 2+1 Daire..!","Merkez, Ali İhsan Paşa Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/8/4/0/9/4/2/4/9cfcf4a4-e1f2-49b1-9b7f-e452cb538605.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-fatih-kiralik/daire/141515-42","12","15.000","15-04-2024","Kiralık Daire","3 +
                        1","130 m²","1
                      Yaşında","2. Kat","Fatih Mahallesinde 130 M2 3+1 Arakat Sıfır Kiralık Daire","Merkez, Fatih Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/7/7/5/5/4/2/4/1712179200408-42455777.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-ali-ihsan-pasa-kiralik/daire/109660-2639","23","8.000","15-04-2024","Kiralık Daire","3 +
                        1","125 m²","20
                      Yaşında","En Üst Kat","Ali İhsan Paşa Mah. Kiralık 3+1 Daire..!","Merkez, Ali İhsan Paşa Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/4/6/5/3/4/2/4/0b90a3b3-7a3b-4b07-b42e-9f3bea70395a.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-erkmen-fevzi-cakmak-kiralik/daire/87840-3091","23","11.000","15-04-2024","Kiralık Daire","3 +
                        1","125 m²","17
                      Yaşında","En Üst Kat","Öztürk Emlak'tan Erkmen Toki 'de 3+1 Afjetli 3.Kat Daire","Merkez, Erkmen (Fevzi Çakmak) Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/4/8/8/8/4/2/4/afe9fed2-69ca-4f8a-bbd2-75f08e949cf8.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-istiklal-kiralik/daire/116282-1094","15","9.000","15-04-2024","Kiralık Daire","3 +
                        1","120 m²","20
                      Yaşında","1. Kat","Sılam Emlaktan İstiklal Mahallesinde 3+1 Kıralık Daire","Merkez, İstiklal Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/3/5/4/2/3/2/4/268c2f4f-7e1e-4033-a0dd-471b9b6a4930.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-ali-ihsan-pasa-kiralik/daire/109660-2640","31","9.000","15-04-2024","Kiralık Daire","3 +
                        1","130 m²","15
                      Yaşında","1. Kat","Afyon Vizyon Emlaktan Ali İhsan Paşa Mh.Kiralık 3+1 Bakımlı Daire!","Merkez, Ali İhsan Paşa Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/5/9/7/4/4/2/4/f1d8979b-6ff3-4dbd-94e9-98cf9594ad7b.jpg"
