"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-location","img-wrp href","he-lazy-image src","list-view-header","branded__text","branded__text 2","he-lazy-image src 2","img-wrp href 2","he-lazy-image src 3"
"https://www.hepsiemlak.com/aydin-incirliova-istiklal-kiralik/daire/135012-283","15","8.500","15-04-2024","Kiralık Daire","3 +
                        1","138 m²","15
                      Yaşında","2. Kat","İncirliova,","https://www.hepsiemlak.com/emlak-ofisi/ada-royal-real-estate-agency-135012","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/2/1/0/5/3/1/eac77352-bc24-42fd-b6cc-6c8b00530309.jpg","","","","","",""
"https://www.hepsiemlak.com/aydin-kusadasi-guzelcamli-kiralik/daire/144118-28","27","13.000","14-04-2024","Kiralık Daire","2 +
                        1","70 m²","1
                      Yaşında","1. Kat","Kuşadası, Güzelçamlı Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/behre-emlak-144118","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/8/1/1/4/4/1/5f1a7be0-00ac-42e0-a44b-4092f6ed6d97.jpg","Merkezde 0. 2+1 Kiralık Daire","","","","",""
"https://www.hepsiemlak.com/aydin-nazilli-isabeyli-kiralik/daire/141650-60","20","7.500","16-04-2024","Kiralık Daire","2 +
                        1","90 m²","10
                      Yaşında","Ara Kat","Nazilli, İsabeyli Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/konut-emlak-141650","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/0/5/6/1/4/1/0a7c80a6-b2cc-4d72-9c82-f03c075bcc09.jpg","➡️konut Emlaktan İsabeyli Merkezde 2+1 Dublex Full Eşyalı Kiralık Daire","","","","",""
"https://www.hepsiemlak.com/aydin-nazilli-isabeyli-kiralik/daire/143947-21","15","6.750","16-04-2024","Kiralık Daire","1 +
                        1","60 m²","4
                      Yaşında","Yüksek Giriş","Nazilli, İsabeyli Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/express-gayrimenkul-143947/umran-unal-tumturk-4057847","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/9/5/6/4/4/2/4/1712047221307-42446593.jpg","Aydın Nazilli İsabeylide Üniversiteye Yakın Konumda Eşyalı Kiralık Daire","Ümran","Ünal Tümtürk","https://hecdnnw.hemlak.com/mncropresize/68/68/firmuser/7/4/8/7/5/0/4/0b70d0d1-400e-43a8-b8f4-eb882c025872.jpg","https://www.hepsiemlak.com/emlak-ofisi/express-gayrimenkul-143947","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/7/4/9/3/4/1/fe3dbc68-76b8-422e-ab98-1921968e03a0.jpg"
"https://www.hepsiemlak.com/aydin-efeler-zafer-kiralik/daire/125127-256","23","8.000","16-04-2024","Kiralık Daire","1 +
                        1","45 m²","7
                      Yaşında","2. Kat","Efeler, Zafer Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/kuzgun-group-gayrimenkul-125127","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/4/4/0/9/2/2/4/350a7221-ad02-4d0d-824b-942eb54b7f73.jpg","Aydın'da Zafer Mah.'de Kiralık Eşyasız 1+1 Daire","","","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/7/2/1/5/2/1/87e62cb8-aeaa-4007-88ef-b81f514130d0.jpg","",""
"https://www.hepsiemlak.com/aydin-didim-akbuk-kiralik/daire/90011-921","20","20.000","16-04-2024","Kiralık Daire","3 +
                        1","130 m²","10
                      Yaşında","En Üst Kat","Didim, Akbük Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/akbuk-sahil-emlak-90011","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/2/4/7/8/3/2/4/1710948260-4389749-42387421.jpeg","Didim Akbükte Kiralık 3+1 Eşyalı Daire","","","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/1/1/0/0/9/0/ad9df121-bad9-4b33-b482-b5c582fc08b4.jpg","",""
"https://www.hepsiemlak.com/aydin-soke-yenikent-kiralik/daire/124634-272","20","15.000","16-04-2024","Kiralık Daire","3 +
                        1","120 m²","30
                      Yaşında","3. Kat","Söke, Yenikent Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/zirve-emlak-124634","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/4/1/3/5/2/2/4/114bf4e2-011b-4a68-aefc-57abeeb0550d.jpg","Aydın Söke Yenikent Te Kiralık 3+1 Daire","","","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/4/3/6/4/2/1/2e3b2bc4-00b7-49b3-8b58-d72e0b176722.jpg","",""
"https://www.hepsiemlak.com/aydin-kusadasi-ikicesmelik-kiralik/daire/3287-2970","16","17.500","16-04-2024","Kiralık Daire","2 +
                        1","170 m²","10
                      Yaşında","4. Kat","Kuşadası, İkiçeşmelik Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/eskidji-kusadasi-merkez-bolge-ortagi-3287","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/1/7/9/8/4/2/4/26d6f654-2951-4e93-a115-6c9d618d0b2f.jpg","Kuşadası İkiçeşmelik Mah. 2+1 Temiz Kiralık Çatı Dubleksi","","","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/7/8/2/3/0/0/63b89d82-baa0-4ecb-b3bc-984b46556332.jpg","",""
"https://www.hepsiemlak.com/aydin-efeler-efeler-kiralik/daire/141072-20","21","10.000","16-04-2024","Kiralık Daire","3 +
                        1","160 m²","25
                      Yaşında","2. Kat","Efeler, Efeler Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/evim-grup-yatirim-danismanligi-141072/murat-sarigul-3963461","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/7/0/6/4/0/2/4/1705149225503-42046078.jpg","Geniş Ferah Daire","Murat","Sarıgül","https://hecdnnw.hemlak.com/mncropresize/68/68/firmuser/1/6/4/3/6/9/3/fda278d6-22c4-4995-9dfb-889bd5a89745.jpg","https://www.hepsiemlak.com/emlak-ofisi/evim-grup-yatirim-danismanligi-141072","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/2/7/0/1/4/1/d513e335-8205-41dc-a0c7-7c380329f2cd.jpg"
"https://www.hepsiemlak.com/aydin-cine-yeni-kiralik/daire/130347-169","17","10.000","15-04-2024","Kiralık Daire","1 +
                        1","45 m²","Sıfır Bina","En Üst Kat","Çine, Yeni Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/candan-emlak-130347","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/2/6/9/8/4/2/4/1713182710857-42489626.jpg","Kiralık Eşyalı 1+1 Daire","","","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/7/4/3/0/3/1/4082d58e-b686-44ac-b9fc-1b4af3a5c7ce.jpg","",""
