"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-location","img-wrp href","he-lazy-image src","list-view-header","he-lazy-image src 2"
"https://www.hepsiemlak.com/mugla-bodrum-dirmil-kiralik/daire/122999-669","15","50.000","06-04-2024","Kiralık Daire","3 +
                        1","210 m²","16
                      Yaşında","Bahçe Katı","Bodrum,","","","",""
"https://www.hepsiemlak.com/mugla-fethiye-inlice-kiralik/villa/144310-7","47","5.000","14-04-2024","Kiralık Villa","4 +
                        1","350 m²","Sıfır Bina","","Fethiye,","https://www.hepsiemlak.com/emlak-ofisi/tatil-merasi-144310/galip-pala-4070587","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg","",""
"https://www.hepsiemlak.com/mugla-bodrum-eskicesme-kiralik/daire/8011-4807","20","35.000","16-04-2024","Kiralık Daire","2 +
                        1","80 m²","20
                      Yaşında","En Üst Kat","Bodrum, Eskiçeşme Mahallesi","","","Bodrum Marinada Cok Merkezi Sıfır Eşyalı Yıllık Kiralik 2+1 Daire",""
"https://www.hepsiemlak.com/mugla-bodrum-muskebi-kiralik/villa/131129-241","38","65.000","16-04-2024","Kiralık Villa","4 +
                        1","170 m²","14
                      Yaşında","","Bodrum, Müskebi Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/3/0/3/9/4/2/4/526876de-9e57-463a-a3ba-7bb3f7d169f1.jpg","Kiralık Bodrum Ortakent Mandalina Bahçesinde Müstakil 4+1 Villa",""
"https://www.hepsiemlak.com/mugla-mentese-emirbeyazit-kiralik/daire/139386-227","9","18.000","16-04-2024","Kiralık Daire","2 +
                        1","95 m²","28
                      Yaşında","1. Kat","Menteşe, Emirbeyazıt Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/yildiz-emlak-139386","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/0/2/3/9/4/2/4/c26b4ec2-3059-4308-b6ff-1d64dff80b80.jpg","Muğla Emirbeyazıt Mh Kiralık Eşyasız 2+1 Daire","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/6/8/3/9/3/1/155f3c54-6f72-4d78-b46c-9f4f9abbd367.jpg"
"https://www.hepsiemlak.com/mugla-bodrum-umurca-kiralik/daire/131129-238","36","30.000","16-04-2024","Kiralık Daire","2 +
                        1","85 m²","10
                      Yaşında","2. Kat","Bodrum, Umurca Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/2/8/7/1/4/2/4/4755d4c6-2e58-446d-b169-8e512f925967.jpg","Kiralık Bodrum Merkez Havuzlu Nezih Sitede 2+1 Üst Kat Daire",""
"https://www.hepsiemlak.com/mugla-ortaca-okcular-kiralik/villa/139965-88","40","26.500","16-04-2024","Kiralık Villa","3 +
                        1","160 m²","Sıfır Bina","","Ortaca, Okçular Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/dost-emlak-139965","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/6/2/4/5/2/2/4/d2cd7d50-c609-4419-a3df-e91d2955408c.jpg","Dost Emlak'tan Doğa İle İç İçe Kiralık 3+1 Lüks Villa","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/5/6/9/9/3/1/fcc5c07a-43a9-42c0-86df-1bdaf2d54ae9.jpg"
"https://www.hepsiemlak.com/mugla-ula-akyaka-kiralik/daire/139386-176","20","24.500","16-04-2024","Kiralık Daire","2 +
                        1","90 m²","2
                      Yaşında","2. Kat","Ula, Akyaka Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/yildiz-emlak-139386","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/0/9/3/2/2/2/4/c2990fb3-6e06-47ae-9ba2-510d3dca96d5.jpg","Muğla Ula Akyaka Kiralık Havuzlu Ve Denize Yakın Dubleks Daire","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/6/8/3/9/3/1/155f3c54-6f72-4d78-b46c-9f4f9abbd367.jpg"
"https://www.hepsiemlak.com/mugla-datca-iskele-kiralik/villa/130951-309","23","25.000","16-04-2024","Kiralık Villa","2 +
                        1","90 m²","9
                      Yaşında","","Datça, İskele Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/3/5/7/5/1/2/4/2912e378-235f-41f7-be5b-f4be4749b82c.jpg","Aden İnşaat Emlak'tan Datça Burgaz Mevkinde 2+1 İkiz Kiralık Villa",""
"https://www.hepsiemlak.com/mugla-fethiye-yeni-kiralik/daire/86274-79","35","50.000","16-04-2024","Kiralık Daire","3 +
                        1","180 m²","5
                      Yaşında","Villa Katı","Fethiye, Yeni Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/8/1/2/0/0/7/2/1686902331980-27002187.jpg","Fethiye'de Plaja Yakın Müstakil Havuzlu Süper Villa",""
