"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","he-lazy-image src 2"
"https://www.hepsiemlak.com/mugla-koycegiz-toparlar-kiralik/daire/138924-220","40","15.000","18-03-2024","Kiralık Daire","2 +
                        1","75 m²","1
                      Yaşında","1. Kat","Tuana Emlak'tan Toparlada 2+1 Kiralık Daire","Köyceğiz, Toparlar Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/tuana-emlak-gayrimenkul-138924","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/4/2/9/8/3/1/cf591ef9-5704-4f4c-8f87-77b983c83d0c.jpg",""
"https://www.hepsiemlak.com/mugla-ortaca-bahcelievler-kiralik/daire/138526-573","19","12.000","13-03-2024","Kiralık Daire","2 +
                        1","80 m²","Sıfır Bina","Yüksek Giriş","Adress Ailesinden Ortaca 'da Havuzlu Sitede 2+1 Ebeveyn Banyolu Kiralık Daire","Ortaca, Bahçelievler Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/adress-ailesi-138526","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/6/2/5/8/3/1/d6cf4f1e-4205-4df1-a525-787c6f7612a9.jpg",""
"https://www.hepsiemlak.com/mugla-bodrum-yenikoy-kiralik/mustakil-ev/131129-224","18","40.000","20-03-2024","Kiralık Müstakil Ev","2 +
                        2","100 m²","16
                      Yaşında","","Bodrum Merkez Deniz Ve Kale Manzaralı Eşyalı Villa Senelik Kiralık","Bodrum, Yeniköy Mahallesi","","",""
"https://www.hepsiemlak.com/mugla-bodrum-geris-kiralik/daire/28765-6166","28","25.000","25-03-2024","Kiralık Daire","2 +
                        1","110 m²","12
                      Yaşında","En Üst Kat","Yalıkavak Muhteşem Deniz Manzaralı Sezonluk Kiralık Daire","Bodrum, Geriş Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/coldwell-banker-artemis-28765","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/5/5/6/6/5/1/4/3f4d64ac-354a-4642-be67-754ae3d11e9f.jpg","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/5/6/7/8/2/0/58296d53-d3b6-485e-b2a1-6c0fc7f041b5.jpg"
"https://www.hepsiemlak.com/mugla-fethiye-patlangic-kiralik/daire/97683-997","15","13.000","08-04-2024","Kiralık Daire","2 +
                        1","80 m²","Sıfır Bina","1. Kat","Fethiye Patlangıç Mah. Sıfır Asansörlü 2+1 Kiralık Daire","Fethiye, Patlangıç Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/ilkon-gayrimenkul-97683","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/0/1/0/4/3/2/4/1710179572193-42340108.jpg","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/3/8/6/7/9/0/5bdf763c-3a64-4a68-a9d3-1bfce183c251.jpg"
"https://www.hepsiemlak.com/mugla-marmaris-armutalan-kiralik/daire/111446-510","28","25.000","09-04-2024","Kiralık Daire","2 +
                        1","75 m²","25
                      Yaşında","2. Kat","Mabel'den Marmaris Armutalan'da Eşyalı Kiralık 2+1 Daire","Marmaris, Armutalan Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/mabel-marmaris-111446","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/0/6/2/7/4/2/4/b6dae240-eb4d-448d-9bf3-5fdb4245a3d5.jpg","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/6/4/4/1/1/1/2b4274f1-4c59-4333-ae4a-25d5f10d1345.jpg"
"https://www.hepsiemlak.com/mugla-bodrum-akyarlar-kiralik/daire/136941-211","12","360.000","08-04-2024","Kiralık Daire","2 +
                        1","85 m²","15
                      Yaşında","2. Kat","Bodrum Akyarlar Meteor Koyu’nda Dönemsel Kiralık","Bodrum, Akyarlar Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/turyap-yalikavak-136941","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/4/0/3/4/4/2/4/1711973661-364129-42443043.jpeg","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/1/4/9/6/3/1/4a151971-ef03-4e7d-bd0e-511f044c68eb.jpg"
"https://www.hepsiemlak.com/mugla-mentese-yenikoy-kiralik/daire/108994-330","24","15.000","28-03-2024","Kiralık Daire","2 +
                        1","55 m²","15
                      Yaşında","Ara Kat","Firmalara Kiralık 6 Kişilik Kiralık Lojman","Menteşe, Yeniköy Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/2/5/4/2/4/2/4/1711606730-508429-42424525.jpeg",""
"https://www.hepsiemlak.com/mugla-yatagan-yeni-kiralik/daire/140166-67","12","12.000","09-04-2024","Kiralık Daire","3 +
                        1","125 m²","11
                      Yaşında","3. Kat","Yeni Mahalle De Kiralık Daire","Yatağan, Yeni Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/kursunlu-emlak-140166","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/6/0/2/7/3/2/4/2afd9c2d-7d66-4697-b6ab-8d86e69e9e98.jpeg","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/6/6/1/0/4/1/feab24ca-a963-462d-bfdb-d8854191b84c.jpg"
"https://www.hepsiemlak.com/mugla-bodrum-turkbuku-kiralik/daire/6897-3685","9","150.000","10-04-2024","Kiralık Daire","2 +
                        1","110 m²","5
                      Yaşında","Bahçe Katı","Bodrum Türkbükü Denize Yakın Sezonda Kiralık Bahçe Kat Daire","Bodrum, Türkbükü Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/exper-exper-6897","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/7/0/6/0/2/2/4/988f6f81-52e3-457a-b67c-489a0683ab17.jpg","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/7/9/8/6/0/0/9ad4c8c6-2fd8-4d59-bb14-a57f8e27c586.jpg"
"https://www.hepsiemlak.com/mugla-mentese-kotekli-kiralik/daire/76834-2269","16","11.000","23-03-2024","Kiralık Daire","2 +
                        1","60 m²","15
                      Yaşında","Ara Kat","Muğla Kötekli'de Eşyasız 2+1 Kiralık Daire","Menteşe, Kötekli Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/7/6/0/0/4/2/4/88306004-62fe-4671-86e4-98ec5718b8c6.jpg",""
"https://www.hepsiemlak.com/mugla-milas-haci-ilyas-kiralik/daire/59607-2517","10","15.000","01-04-2024","Kiralık Daire","3 +
                        1","120 m²","20
                      Yaşında","3. Kat","Hacıilyas Mahallesinde Merkezi Konumda Kiralık Daire","Milas, Hacı İlyas Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/3/5/1/4/4/2/4/1711961676453-42441538.jpg",""
"https://www.hepsiemlak.com/mugla-bodrum-bitez-kiralik/daire/17216-3877","27","35.000","26-03-2024","Kiralık Daire","2 +
                        1","90 m²","10
                      Yaşında","Bahçe Katı","Bodrum Bitez Havuzlu Site’de 2+1 Full Manzaralı Bahçe Katı Daire","Bodrum, Bitez Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/zemlak-17216","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/0/8/6/1/4/2/4/1711459993-287868-42416801.jpeg","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/6/1/2/7/1/0/dd04d074-b5fd-450f-a57c-3d1b7ec4221d.jpg"
"https://www.hepsiemlak.com/mugla-fethiye-foca-kiralik/daire/86274-312","20","15.000","06-03-2024","Kiralık Daire","2 +
                        1","80 m²","1
                      Yaşında","Çatı Katı","Fethiye'de Mayıs Ayına Kadar Kiralık Eşyalı Apart Daireler","Fethiye, Foça Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/4/6/9/0/1/6/3/3/deae9130-20b3-49b9-b8fd-d76cf597f923.jpg",""
"https://www.hepsiemlak.com/mugla-fethiye-yeni-kiralik/daire/124057-244","21","12.000","06-04-2024","Kiralık Daire","2 +
                        1","105 m²","5
                      Yaşında","Çatı Katı","Yeni Mahallede Kiralık Çatı Katı 2+1 Daire","Fethiye, Yeni Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/3/5/8/6/4/2/4/e4ac1f7d-49b8-4c3b-aa88-daff110efc2e.jpg",""
"https://www.hepsiemlak.com/mugla-dalaman-altintas-kiralik/daire/98477-341","18","20.000","06-04-2024","Kiralık Daire","2 +
                        1","80 m²","Sıfır Bina","Zemin","Karia Gayrimenkul'den Havuzlu Site'de Uzun Dönem Kiralık 2+1 Full Eşyalı Daire!","Dalaman, Altıntas Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/karia-gayrimenkul-98477","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/1/9/7/6/4/2/4/35f50f7e-fe65-45b5-a8c8-05c70ad7e5f0.jpg","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/7/7/4/8/9/0/4299a2b3-3ea8-42bb-88a9-eb80286afbc3.jpg"
"https://www.hepsiemlak.com/mugla-marmaris-armutalan-kiralik/daire/72638-4269","21","40.000","08-04-2024","Kiralık Daire","2 +
                        1","100 m²","11
                      Yaşında","2. Kat","Müjgan Emlaktan Armutalan Merkezde Lüks Full Eşyalı 2+1 Dubleks","Marmaris, Armutalan Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/mujgan-emlak-72638","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/9/4/7/1/4/2/4/ff497968-0dd0-4f0a-93d1-cca72ad08ec6.jpg","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/8/3/6/2/7/0/a5baee1c-8450-4923-baa1-5dc8348e4e7e.jpg"
"https://www.hepsiemlak.com/mugla-bodrum-yalikavak-kiralik/villa/128053-763","21","1.150.000","21-03-2024","Kiralık Villa","3 +
                        1","170 m²","3
                      Yaşında","","Bodrum Yalıkavak'ta Kiralık Deniz Manzaralı 3+1 Tek Katlı Villa","Bodrum, Yalıkavak Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/global-ipek-yapi-as-128053/ramazan-ipek-3191235","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/5/3/6/6/3/2/4/d866750d-cff7-4d7f-a63e-afacda1fca53.jpg","https://hecdnnw.hemlak.com/mncropresize/68/68/firmuser/5/3/2/1/9/1/3/0dfbe834-71c9-4d53-aa20-c2c219bc0005.jpg"
"https://www.hepsiemlak.com/mugla-milas-oren-kiralik/yazlik/0-42369050","15","70.000","28-03-2024","Kiralık Yazlık","2 +
                        1","57 m²","2
                      Yaşında","Zemin","Tatil Eviniz","Milas, Ören Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/5/0/9/6/3/2/4/er92FLb2qabQ8qezG1XDm.jpg",""
"https://www.hepsiemlak.com/mugla-bodrum-kumbahce-kiralik/daire/142740-131","18","60.000","05-03-2024","Kiralık Daire","3 +
                        1","145 m²","13
                      Yaşında","Ara Kat","Bodrum'da Sahile Yürüme Mesafesinde Full Eşyalı 3+1 Daire","Bodrum, Kumbahçe Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/missafir-homes-142740","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/1/2/0/1/3/2/4/e3933cc0-43a3-4532-a2d4-c3bb80689fa7.jpg","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/0/4/7/2/4/1/dfb8996f-ff55-45ea-9667-02298ad859fa.jpg"
"https://www.hepsiemlak.com/mugla-fethiye-tuzla-kiralik/daire/0-42255544","27","25.000","23-02-2024","Kiralık Daire","3 +
                        1","200 m²","5
                      Yaşında","2. Kat","Denize Sıfır Çatı Dubleks","Fethiye, Tuzla Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/4/5/5/5/2/2/4/vHgwFu-AK1yHE3FJ-CYTk.jpg",""
"https://www.hepsiemlak.com/mugla-fethiye-yaniklar-kiralik/mustakil-ev/0-42212071","24","13.500","24-03-2024","Kiralık Müstakil Ev","2 +
                        1","90 m²","2
                      Yaşında","","Kiralık Müstakil Ev - Yanıklar / Fethiye","Fethiye, Yanıklar Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/7/0/2/1/2/2/4/pAQ9miD1U_mOH6SLxjvqI.jpg",""
"https://www.hepsiemlak.com/mugla-fethiye-kargi-kiralik/villa/78202-2569","60","75.000","29-02-2024","Kiralık Villa","4 +
                        1","256 m²","Sıfır Bina","","Fethiye'de Site İçinde Müstakil Havuzlu 4+1 Kiralık Tripleks Villa","Fethiye, Kargı Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/4/6/2/0/2/2/4/9a9f914d-b2d1-4364-a885-9313cbee8455.jpg",""
"https://www.hepsiemlak.com/mugla-datca-karakoy-kiralik/villa/0-42193761","21","65.000","13-02-2024","Kiralık Villa","2 +
                        1","150 m²","5
                      Yaşında","","Kiralik Yazlik Villa","Datça, Karaköy Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/6/7/3/9/1/2/4/1707740798944-42193761.jpg",""
"https://www.hepsiemlak.com/mugla-bodrum-peksimet-kiralik/villa/0-42109531","18","135.000","22-02-2024","Kiralık Villa","3 +
                        1","500 m²","15
                      Yaşında","","Bodrum Kadıkalesinde Site İçinde Müstakil 3+1 Villa","Bodrum, Peksimet Mahallesi","","",""
"https://www.hepsiemlak.com/mugla-milas-bogazici-kiralik/villa/0-42085458","18","100.000","21-01-2024","Kiralık Villa","3 +
                        1","200 m²","2
                      Yaşında","","Feza Tatil Sitesi","Milas, Boğaziçi Mahallesi","","",""
"https://www.hepsiemlak.com/mugla-bodrum-geris-kiralik/daire/0-42032575","17","50.000","26-02-2024","Kiralık Daire","2 +
                        1","82 m²","7
                      Yaşında","3. Kat","Yalıkavak Marina/deniz Ve Doğa Manzaralı Eşyalı Daire","Bodrum, Geriş Mahallesi","","",""
"https://www.hepsiemlak.com/mugla-bodrum-torba-kiralik/villa/0-42018813","38","130.000","02-04-2024","Kiralık Villa","4 +
                        1","180 m²","15
                      Yaşında","","Torba' Da Yaz Sezonunda Kiralık Villa","Bodrum, Torba Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/1/8/8/1/0/2/4/kJg5AjiuWM_4aKMfoul5h.jpeg",""
"https://www.hepsiemlak.com/mugla-mentese-emirbeyazit-kiralik/daire/107817-481","42","16.000","24-01-2024","Kiralık Daire","3 +
                        1","150 m²","30
                      Yaşında","En Üst Kat","Muğla Çarşı Merkez De Kiralık 3+1 Daire","Menteşe, Emirbeyazıt Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/9/6/3/5/8/1/4/1701451199-682194-41853699.jpeg",""
