city,district,neighborhood,room,living_room,area,age,floor,price
afyonkarahisar,merkez,hasan_karaagac,1,1,48,2,-1,8500
afyonkarahisar,merkez,yenice,3,1,130,10,5,15000
afyonkarahisar,merkez,erenler,1,1,70,5,3,5000
afyonkarahisar,merkez,ali_ihsan_pasa,2,1,120,20,5,7000
afyonkarahisar,merkez,fatih,3,1,130,1,2,15000
afyonkarahisar,merkez,ali_ihsan_pasa,3,1,125,20,5,8000
afyonkarahisar,merkez,erkmen_fevzi_cakmak,3,1,125,17,5,11000
afyonkarahisar,merkez,istiklal,3,1,120,20,1,9000
afyonkarahisar,merkez,ali_ihsan_pasa,3,1,130,15,1,9000
afyonkarahisar,merkez,kanlica,1,1,80,30,0,3000
afyonkarahisar,merkez,esentepe,3,1,135,28,2,10000
afyonkarahisar,merkez,maresal_fevzi_cakmak,2,1,95,17,4,6500
afyonkarahisar,merkez,sahipata,3,1,150,25,1,8000
afyonkarahisar,merkez,osman_gazi,2,1,95,17,0,6000
afyonkarahisar,merkez,erenler,2,1,95,15,2,6000
afyonkarahisar,cay,asagi,2,1,100,30,5,5500
afyonkarahisar,merkez,esentepe,2,1,105,16,3,8500
afyonkarahisar,cay,aktas,2,1,100,21,2,5000
afyonkarahisar,merkez,kanlica,3,1,120,18,2,8500
afyonkarahisar,merkez,cumhuriyet,3,1,180,25,2,8000
afyonkarahisar,cay,sirinevler,2,1,100,20,0,3000
afyonkarahisar,merkez,dumlupinar,2,1,105,16,5,10000
afyonkarahisar,merkez,veysel_karani,2,1,100,2,1,8750
afyonkarahisar,merkez,dervis_pasa,2,1,95,31,3,8500
afyonkarahisar,merkez,esrefpasa,2,1,100,21,1,6500
afyonkarahisar,merkez,ali_ihsan_pasa,1,1,90,16,1,7000
afyonkarahisar,bolvadin,imaret,2,1,76,15,1,4250
afyonkarahisar,merkez,cumhuriyet,3,1,125,22,3,8500
afyonkarahisar,merkez,marulcu,1,1,48,10,3,8500
afyonkarahisar,merkez,esrefpasa,3,1,100,30,5,4500
afyonkarahisar,merkez,karsiyaka,1,1,55,7,5,5500
afyonkarahisar,suhut,haci_musa,3,1,120,2,2,8000
afyonkarahisar,merkez,cumhuriyet,2,1,100,17,1,7500
afyonkarahisar,merkez,dumlupinar,1,1,55,25,0,5000
afyonkarahisar,merkez,dumlupinar,3,1,140,13,4,10000
afyonkarahisar,merkez,yunus_emre,1,1,50,7,3,7500
afyonkarahisar,merkez,karsiyaka,2,1,90,1,1,10000
afyonkarahisar,merkez,marulcu,2,1,90,20,3,10000
afyonkarahisar,merkez,dumlupinar,3,1,135,25,4,8000
afyonkarahisar,merkez,kocatepe,3,1,120,9,3,12500
afyonkarahisar,merkez,erenler,2,1,65,4,4,5250
afyonkarahisar,merkez,cumhuriyet,3,1,120,25,5,10000
afyonkarahisar,merkez,esentepe,3,1,120,9,1,12000
afyonkarahisar,merkez,sahipata,2,1,95,15,5,8500
afyonkarahisar,merkez,erenler,1,1,55,4,3,6750
afyonkarahisar,merkez,maresal_fevzi_cakmak,3,1,120,20,2,7750
afyonkarahisar,merkez,kanlica,2,1,90,6,3,10000
afyonkarahisar,merkez,veysel_karani,2,1,90,20,0,3500
afyonkarahisar,merkez,maresal_fevzi_cakmak,4,1,145,10,1,10000
afyonkarahisar,merkez,erenler,1,1,45,5,5,5000
afyonkarahisar,merkez,esrefpasa,3,1,110,15,0,4500
afyonkarahisar,merkez,dumlupinar,1,1,60,18,3,10000
afyonkarahisar,merkez,erenler,2,1,70,5,2,6600
afyonkarahisar,merkez,nazmi_saatci,4,1,135,15,3,9000
afyonkarahisar,merkez,cumhuriyet,1,1,60,0,2,12000
afyonkarahisar,merkez,nazmi_saatci,3,1,115,6,1,8000
afyonkarahisar,merkez,dumlupinar,2,1,90,20,1,10000
afyonkarahisar,merkez,erenler,1,1,53,5,-1,6500
afyonkarahisar,merkez,ali_ihsan_pasa,4,1,155,10,3,13000
afyonkarahisar,merkez,selcuklu,2,1,80,0,3,12500
afyonkarahisar,merkez,cumhuriyet,3,1,150,30,1,10000
afyonkarahisar,merkez,dumlupinar,3,1,148,25,3,9000
afyonkarahisar,merkez,erenler,2,1,60,3,4,5500
afyonkarahisar,merkez,erenler,1,1,45,5,2,5000
afyonkarahisar,merkez,esrefpasa,2,1,100,25,1,6500
afyonkarahisar,merkez,erenler,1,1,55,4,2,5250
afyonkarahisar,merkez,istiklal,3,1,145,17,3,10000
afyonkarahisar,merkez,selcuklu,3,1,130,18,3,9500
afyonkarahisar,merkez,dervis_pasa,3,1,120,18,1,8000
afyonkarahisar,merkez,zafer,3,1,125,20,5,13000
afyonkarahisar,merkez,erenler,2,1,78,4,4,6000
afyonkarahisar,merkez,esrefpasa,3,1,125,16,2,8000
afyonkarahisar,merkez,cumhuriyet,3,1,125,25,5,6000
afyonkarahisar,merkez,dervis_pasa,2,1,80,0,3,10000
afyonkarahisar,merkez,marulcu,2,1,120,35,1,5000
afyonkarahisar,bolvadin,sazi,3,1,151,20,1,7500
afyonkarahisar,merkez,erenler,1,1,50,5,1,4000
izmir,tire,4_eylul,3,1,140,15,3,13250
